height,weight,gender
180,72,男
169,68,男
181,72,男
175,61,男
172,55,男
172,80,男
173,54,男
171,68,男
170,56,男
175,60,男
172,55,男
172,67,男
172,60,男
175,62,男
171,56,男
177,66,男
173,58,男
173,56,男
183,82,男
180,80,男
175,70,男
170,65,男
175,60,男
178,65,男
180,60,男
167,75,男
172,63,男
175,64,男
180,71,男
177,73,男
164,52,女
159,42,女
162,48,女
168,56,女
163,47,女
171,65,女
168,57.5,女
160,48,女
154,47.5,女
160,50,女
158,53,女
158,55,女
170,60,女
158,60,女
163,50,女
163,50,女
161,45,女
160,51,女
168,52,女
160,51,女
170,53,女
162,51,女
166,54,女
173,63,女
158,47,女
155,46,女
153,45,女
165,53,女
153,41,女
163,50,女
