height,weight,gender
175,65,男
172,64.3,男
176,63,男
175,60,男
160,75,男
176,85,男
172,82.5,男
166.6,63,男
165,55,男
176.5,65.5,男
175,63,男
178,68,男
172.5,67.5,男
170,62.5,男
175,60,男
181.3,68.5,男
172.3,65.5,男
177.5,65.5,男
171,63.5,男
173,56,男
170,63.1,男
170,68.5,男
177,64,男
180,60,男
176,60,男
170,55,男
176,90,男
165,78,男
190,60,男
178,80,男
165,53,女
148,44,女
162,52,女
160,48,女
165,55,女
160,42,女
165,52.5,女
165,47,女
162,48,女
170,60,女
145,42.5,女
150,55,女
172,60,女
158,46,女
160,48.5,女
170,51,女
160,50,女
155,45,女
160,55,女
166,56,女
162,57.5,女
164,60,女
165,48,女
162,47.5,女
161,45,女
157,45,女
155,44.5,女
162,65,女
157,51,女
160,55,女
